date,XLE_close
1998-12-22,5.7366
1998-12-23,5.8561
1998-12-24,5.8252
1998-12-28,5.7944
1998-12-29,5.8522
1998-12-30,5.7636
1998-12-31,5.7559
1999-01-04,5.7520
1999-01-05,5.7212
1999-01-06,5.9100
1999-01-07,5.8830
1999-01-08,5.9100
1999-01-11,5.7983
1999-01-12,5.7097
1999-01-13,5.6249
1999-01-14,5.5170
1999-01-15,5.6018
1999-01-19,5.6018
1999-01-20,5.5556
1999-01-21,5.6018
1999-01-22,5.5710
1999-01-25,5.5633
1999-01-26,5.5093
1999-01-27,5.4092
1999-01-28,5.3783
1999-01-29,5.3783
1999-02-01,5.3244
1999-02-02,5.3321
1999-02-03,5.4554
1999-02-04,5.4862
1999-02-05,5.6403
1999-02-08,5.7174
1999-02-09,5.6095
1999-02-10,5.6249
1999-02-11,5.5787
1999-02-12,5.4631
1999-02-16,5.4246
1999-02-17,5.3706
1999-02-18,5.3860
1999-02-19,5.3552
1999-02-22,5.4092
1999-02-23,5.3629
1999-02-24,5.3398
1999-02-25,5.3668
1999-02-26,5.3321
1999-03-01,5.2782
1999-03-02,5.2242
1999-03-03,5.3398
1999-03-04,5.5324
1999-03-05,5.6365
1999-03-08,5.7174
1999-03-09,5.6557
1999-03-10,5.9793
1999-03-11,6.0641
1999-03-12,6.0410
1999-03-15,5.9948
1999-03-16,5.9639
1999-03-17,6.1180
1999-03-18,6.1951
1999-03-19,6.1323
1999-03-22,6.1710
1999-03-23,6.0627
1999-03-24,6.0318
1999-03-25,6.0472
1999-03-26,6.1246
1999-03-29,6.2947
1999-03-30,6.1787
1999-03-31,6.0859
1999-04-01,6.0782
1999-04-05,6.2251
1999-04-06,6.1632
1999-04-07,6.1014
1999-04-08,6.1632
1999-04-09,6.2792
1999-04-12,6.3256
1999-04-13,6.3179
1999-04-14,6.2406
1999-04-15,6.5112
1999-04-16,6.7161
1999-04-19,6.7973
1999-04-20,6.6891
1999-04-21,6.5886
1999-04-22,6.7045
1999-04-23,6.6195
1999-04-26,6.4726
1999-04-27,6.6775
1999-04-28,6.8979
1999-04-29,7.1067
1999-04-30,6.9868
1999-05-03,7.1608
1999-05-04,7.1685
1999-05-05,7.0641
1999-05-06,7.0448
1999-05-07,7.0873
1999-05-10,7.0061
1999-05-11,7.0293
1999-05-12,6.8979
1999-05-13,6.9327
1999-05-14,6.8824
1999-05-17,6.8553
1999-05-18,6.6968
1999-05-19,6.7896
1999-05-20,6.8669
1999-05-21,6.9752
1999-05-24,6.8089
1999-05-25,6.7819
1999-05-26,6.9752
1999-05-27,6.7664
1999-05-28,6.8360
1999-06-01,6.7973
1999-06-02,6.8747
1999-06-03,6.8979
1999-06-04,7.0061
1999-06-07,7.0873
1999-06-08,6.9752
1999-06-09,6.9907
1999-06-10,7.0293
1999-06-11,7.0835
1999-06-14,7.1453
1999-06-15,7.2343
1999-06-16,7.1608
1999-06-17,7.1685
1999-06-18,7.1815
1999-06-21,7.0144
1999-06-22,6.9406
1999-06-23,6.9950
1999-06-24,6.8784
1999-06-25,6.8240
1999-06-28,6.7813
1999-06-29,6.8745
1999-06-30,6.9756
1999-07-01,7.0300
1999-07-02,7.0533
1999-07-06,7.1854
1999-07-07,7.1660
1999-07-08,7.2126
1999-07-09,7.2087
1999-07-12,7.2826
1999-07-13,7.2126
1999-07-14,7.2243
1999-07-15,7.2903
1999-07-16,7.2437
1999-07-19,7.2165
1999-07-20,7.0261
1999-07-21,7.1038
1999-07-22,6.9989
1999-07-23,7.0339
1999-07-26,6.9017
1999-07-27,6.9017
1999-07-28,7.0028
1999-07-29,6.9600
1999-07-30,7.1077
1999-08-02,6.9522
1999-08-03,7.0416
1999-08-04,7.1388
1999-08-05,7.2631
1999-08-06,7.2515
1999-08-09,7.4264
1999-08-10,7.3836
1999-08-11,7.4302
1999-08-12,7.4458
1999-08-13,7.4225
1999-08-16,7.3486
1999-08-17,7.4030
1999-08-18,7.3486
1999-08-19,7.3992
1999-08-20,7.4225
1999-08-23,7.4613
1999-08-24,7.4147
1999-08-25,7.3797
1999-08-26,7.1893
1999-08-27,7.1854
1999-08-30,7.0883
1999-08-31,7.1854
1999-09-01,7.1660
1999-09-02,7.0883
1999-09-03,7.1738
1999-09-07,7.3059
1999-09-08,7.3292
1999-09-09,7.4924
1999-09-10,7.4691
1999-09-13,7.3525
1999-09-14,7.2709
1999-09-15,7.1660
1999-09-16,7.1621
1999-09-17,7.2297
1999-09-20,7.1204
1999-09-21,6.8862
1999-09-22,6.8940
1999-09-23,6.8159
1999-09-24,6.7456
1999-09-27,6.8081
1999-09-28,6.6988
1999-09-29,6.7886
1999-09-30,6.8550
1999-10-01,6.8315
1999-10-04,6.7535
1999-10-05,6.6051
1999-10-06,6.7222
1999-10-07,6.5973
1999-10-08,6.5231
1999-10-11,6.6207
1999-10-12,6.6559
1999-10-13,6.6988
1999-10-14,6.6754
1999-10-15,6.5778
1999-10-18,6.5895
1999-10-19,6.6090
1999-10-20,6.7456
1999-10-21,6.7769
1999-10-22,6.8901
1999-10-25,6.7769
1999-10-26,6.6207
1999-10-27,6.6754
1999-10-28,6.7066
1999-10-29,6.7535
1999-11-01,6.7496
1999-11-02,6.6871
1999-11-03,6.6520
1999-11-04,6.5466
1999-11-05,6.3865
1999-11-08,6.6285
1999-11-09,6.7691
1999-11-10,6.9174
1999-11-11,6.9174
1999-11-12,6.9643
1999-11-15,7.0033
1999-11-16,7.1204
1999-11-17,7.2453
1999-11-18,7.2453
1999-11-19,7.0814
1999-11-22,6.9682
1999-11-23,6.8237
1999-11-24,6.9096
1999-11-26,6.8081
1999-11-29,6.7535
1999-11-30,6.7417
1999-12-01,6.8745
1999-12-02,6.8081
1999-12-03,6.7769
1999-12-06,6.7730
1999-12-07,6.6441
1999-12-08,6.7144
1999-12-09,6.7691
1999-12-10,6.5739
1999-12-13,6.6129
1999-12-14,6.5973
1999-12-15,6.7300
1999-12-16,6.7964
1999-12-17,6.7655
1999-12-20,6.6168
1999-12-21,6.6363
1999-12-22,6.6011
1999-12-23,6.7890
1999-12-27,6.7421
1999-12-28,6.7499
1999-12-29,6.8204
1999-12-30,6.7655
1999-12-31,6.7890
2000-01-03,6.6559
2000-01-04,6.5306
2000-01-05,6.7029
2000-01-06,6.9613
2000-01-07,7.0357
2000-01-10,6.9770
2000-01-11,6.9848
2000-01-12,6.9535
2000-01-13,7.0749
2000-01-14,7.0318
2000-01-18,7.1179
2000-01-19,7.0944
2000-01-20,7.0944
2000-01-21,7.2902
2000-01-24,7.0318
2000-01-25,7.0161
2000-01-26,6.9065
2000-01-27,6.7655
2000-01-28,6.6872
2000-01-31,6.8438
